generation fossil hard coal,price actual,generation hydro pumped storage consumption,generation fossil hard coal ewm,price actual ewm,generation hydro pumped storage consumption ewm,generation other renewable,generation other ewm,generation other renewable ewm,generation fossil oil ewm
4821.0,65.41,863.0,4821.0,65.41,863.0,73.0,43.0,73.0,162.0
4755.0,64.92,920.0,4788.0,65.16499999999999,891.5,71.0,43.0,72.0,160.0
4581.0,64.48,1164.0,4684.5,64.82249999999999,1027.75,73.0,43.0,72.5,158.5
4131.0,59.32,1503.0,4407.75,62.07124999999999,1265.375,75.0,43.0,73.75,159.25
3840.0,56.04,1826.0,4123.875,59.05562499999999,1545.6875,74.0,43.0,73.875,157.625
3590.0,53.63,2109.0,3856.9375,56.3428125,1827.34375,74.0,43.0,73.9375,156.8125
3368.0,51.73,2108.0,3612.46875,54.03640625,1967.671875,74.0,43.0,73.96875,157.40625
3208.0,51.43,2031.0,3410.234375,52.733203125,1999.3359375,72.0,43.0,72.984375,158.703125
3335.0,48.98,2119.0,3372.6171875,50.8566015625,2059.16796875,73.0,43.0,72.9921875,159.8515625
3437.0,54.2,2170.0,3404.80859375,52.52830078125,2114.583984375,74.0,43.0,73.49609375,161.42578125
3516.0,58.94,2020.0,3460.404296875,55.73415039062501,2067.2919921875,72.0,43.0,72.748046875,164.212890625
3845.0,59.86,1183.0,3652.7021484375,57.7970751953125,1625.14599609375,73.0,42.5,72.8740234375,165.1064453125
4220.0,60.12,972.0,3936.35107421875,58.958537597656246,1298.572998046875,75.0,41.75,73.93701171875,166.05322265625
4404.0,62.05,922.0,4170.175537109375,60.50426879882812,1110.2864990234375,74.0,40.875,73.968505859375,166.526611328125
4256.0,62.06,941.0,4213.087768554688,61.28213439941406,1025.6432495117188,76.0,40.4375,74.9842529296875,166.2633056640625
4038.0,59.76,1069.0,4125.543884277344,60.52106719970703,1047.3216247558594,76.0,40.21875,75.49212646484375,163.13165283203125
4191.0,61.18,970.0,4158.271942138672,60.85053359985352,1008.6608123779296,75.0,40.609375,75.24606323242188,163.06582641601562
4707.0,64.74,798.0,4432.635971069336,62.79526679992676,903.3304061889648,75.0,40.8046875,75.12303161621094,164.0329132080078
4756.0,74.26,1.0,4594.317985534668,68.52763339996338,452.1652030944824,74.0,41.40234375,74.56151580810547,164.0164566040039
4918.0,74.24,1.0,4756.158992767334,71.38381669998168,226.5826015472412,76.0,41.701171875,75.28075790405273,155.50822830200195
5025.0,75.64,0.0,4890.579496383667,73.51190834999085,113.2913007736206,74.0,42.3505859375,74.64037895202637,154.75411415100098
5043.0,73.92,0.0,4966.7897481918335,73.71595417499543,56.6456503868103,74.0,42.67529296875,74.32018947601318,154.3770570755005
4990.0,70.53,0.0,4978.394874095917,72.12297708749772,28.32282519340515,74.0,42.837646484375,74.16009473800659,154.18852853775024
4942.0,64.13,0.0,4960.197437047958,68.12648854374885,14.161412596702576,74.0,42.9188232421875,74.0800473690033,157.09426426887512
1291.0,64.02,1290.0,3125.598718523979,66.07324427187442,652.0807062983513,62.0,43.95941162109375,68.04002368450165,175.04713213443756
1190.0,58.46,1996.0,2157.7993592619896,62.26662213593721,1324.0403531491756,61.0,44.47970581054688,64.52001184225082,183.5235660672188
1023.0,54.7,2698.0,1590.3996796309948,58.48331106796861,2011.020176574588,60.0,44.23985290527344,62.26000592112541,186.2617830336094
1016.0,54.91,3269.0,1303.1998398154974,56.6966555339843,2640.010088287294,59.0,44.11992645263672,60.63000296056271,187.1308915168047
1103.0,53.07,3267.0,1203.0999199077487,54.88332776699215,2953.505044143647,61.0,44.05996322631836,60.81500148028135,188.06544575840235
1120.0,54.23,3258.0,1161.5499599538743,54.55666388349607,3105.7525220718235,59.0,44.02998161315918,59.90750074014068,189.0327228792012
1167.0,58.22,3256.0,1164.2749799769372,56.38833194174804,3180.876261035912,60.0,44.01499080657959,59.95375037007034,189.0163614396006
1067.0,67.55,2987.0,1115.6374899884686,61.969165970874016,3083.938130517956,60.0,44.0074954032898,59.97687518503517,191.5081807198003
1098.0,70.33,2447.0,1106.8187449942343,66.14958298543701,2765.469065258978,59.0,44.0037477016449,59.48843759251759,193.75409035990012
1293.0,71.26,1907.0,1199.9093724971171,68.7047914927185,2336.234532629489,59.0,44.00187385082245,59.24421879625879,193.37704517995007
1339.0,75.86,938.0,1269.4546862485586,72.28239574635924,1637.1172663147445,60.0,44.50093692541122,59.6221093981294,196.68852258997504
1335.0,73.65,747.0,1302.2273431242793,72.96619787317962,1192.0586331573722,59.0,44.25046846270561,59.3110546990647,197.84426129498752
1336.0,74.19,864.0,1319.1136715621396,73.57809893658981,1028.029316578686,60.0,44.125234231352806,59.65552734953235,197.42213064749376
1341.0,71.51,906.0,1330.0568357810698,72.5440494682949,967.0146582893432,61.0,44.0626171156764,60.327763674766175,202.71106532374688
1354.0,71.04,1047.0,1342.028417890535,71.79202473414745,1007.0073291446716,58.0,44.0313085578382,59.16388183738309,198.85553266187344
1298.0,71.24,1491.0,1320.0142089452677,71.51601236707373,1249.0036645723358,57.0,44.0156542789191,58.08194091869154,196.92776633093672
1184.0,70.64,1975.0,1252.0071044726335,71.07800618353687,1612.001832286168,59.0,44.00782713945955,58.54097045934577,195.9638831654684
1047.0,72.85,1760.0,1149.5035522363169,71.96400309176843,1686.000916143084,59.0,44.003913569729775,58.770485229672886,195.48194158273415
1178.0,82.55,595.0,1163.7517761181584,77.25700154588421,1140.500458071542,64.0,44.00195678486489,61.38524261483644,197.2409707913671
1345.0,83.33,78.0,1254.3758880590792,80.29350077294211,609.250229035771,68.0,44.00097839243245,64.69262130741822,201.12048539568357
1354.0,83.23,68.0,1304.1879440295395,81.76175038647105,338.6251145178855,69.0,44.00048919621622,66.84631065370911,207.56024269784177
1348.0,79.06,68.0,1326.09397201477,80.41087519323553,203.31255725894275,69.0,44.50024459810811,67.92315532685456,211.2801213489209
1429.0,76.2,68.0,1377.546986007385,78.30543759661776,135.6562786294714,66.0,44.750122299054055,66.96157766342728,214.14006067446044
1432.0,71.75,68.0,1404.7734930036925,75.02771879830888,101.8281393147357,64.0,44.87506114952703,65.48078883171364,217.0700303372302
1798.0,66.82,502.0,1601.386746501846,70.92385939915444,301.91406965736786,76.0,61.43753057476352,70.74039441585683,231.5350151686151
1351.0,63.35,1048.0,1476.193373250923,67.13692969957722,674.957034828684,68.0,69.71876528738176,69.37019720792841,238.2675075843076
1258.0,58.79,1880.0,1367.0966866254616,62.96346484978861,1277.478517414342,66.0,74.35938264369088,67.6850986039642,241.13375379215375
1196.0,57.44,2441.0,1281.5483433127308,60.2017324248943,1859.2392587071708,68.0,76.67969132184544,67.8425493019821,242.5668768960769
1138.0,55.29,2767.0,1209.7741716563655,57.745866212447154,2313.1196293535854,67.0,77.33984566092272,67.42127465099105,222.28343844803845
